,CUSTOMER_ID,Loan_to_Principal_Ratio,Interest_to_Principal_Percentage,Remaining_Loan_Term
0,10015715.7143,1.8328315446057575,0.0003225778131456654,238.4
1,12425058.5714,401896.9770114942,48.85057471264368,60.86666666666667
2,14045201.4286,1.7843512930875038,-1.0969374201955173e-05,184.66666666666666
3,94215644.2857,5.9585680412852495,-9.458044885295828e-06,123.8
4,86244215.7143,4.558156028249063,0.00042627163581782454,125.8
5,18920101.4286,1.476837800146754,0.00016180989140784083,184.66666666666666
6,142301100.0,3.255637771077608,-0.0003593705487057035,125.83333333333333
7,7066157.1429,1.3075353139726662,-0.00027201301685463,60.9
8,16594914.2857,1.5676121035936907,2.4722851116106248e-05,211.06666666666666
9,94837601.4286,1.2498988985837363,1.7208751704504217e-05,246.53333333333333
10,128306828.5714,1.2721121746316322,4.417054761581e-05,243.5
11,88072357.1429,3.9940131383137265,0.0005982366266536272,62.9
12,90882030.0,2.7841371082073287,-0.0006489738894330756,123.76666666666667
13,90882030.0,2.7841226743553733,-1.2496358298110704e-05,123.76666666666667
14,140169958.5714,200183.19178082192,62.100456621004575,60.86666666666667
15,67734544.2857,2.596825351436998,9.380164551980977e-05,123.76666666666667
16,14203014.2857,2.5753857403348137,-7.020391274926092e-05,123.76666666666667
17,138760258.5714,551999.6666666666,-18.666666666666668,62.9
18,9634057.1429,1.3082761734853738,5.4751022331883845e-05,182.63333333333333
19,9634057.1429,1.4358262052184547,-1.3713679743912957e-05,175.53333333333333
20,88617572.8571,1.8768504611723122,3.3199001688313096e-05,123.76666666666667
21,135048815.7143,1.8778646289870133,4.81585957333616e-05,123.76666666666667
22,118495272.8571,1.3361972670316336,-0.00011243405752564874,184.7
23,43952914.2857,54.573081002904885,-0.0005093488062828612,121.76666666666667
24,58276144.2857,1.8817315573678082,7.007825476491416e-05,123.73333333333333
25,4912558.5714,12.319594925197231,-0.0013353662858361806,71.06666666666666
26,47519730.0,3.373922610167957,-8.796076874319111e-05,122.8
27,47519730.0,3.322606551224776,-0.00033969177359231904,119.43333333333334
28,47519730.0,3.2564097244989036,-7.83950743289329e-05,116.5
29,47519730.0,3.2179819002422025,0.00016341744287340335,114.33333333333333
30,9936414.2857,1545508.2463768115,113.04347826086958,60.86666666666667
31,33786642.8571,26.770868912906664,0.0014504862029752373,62.86666666666667
